rank,tier,zip,state,owner,units,fhfa_a1
2034,B,19805,DE,9056,17281,1.8
2035,B,28461,NC,9054,14435,3.27
2036,B,48309,MI,9052,11635,4.98
2037,B,92867,CA,9052,13693,1.25
2038,B,48162,MI,9049,12698,6.81
2039,B,48174,MI,9048,13124,2.0
2040,B,92555,CA,9046,12337,-6.92
2041,B,18042,PA,9046,17932,12.99
2042,B,23608,VA,9045,18448,1.38
2043,B,08902,NJ,9045,15892,6.55
2044,B,77047,TX,9042,13288,12.73
2045,B,76092,TX,9041,9886,8.09
2046,B,48306,MI,9039,10202,4.15
2047,B,91367,CA,9038,20577,3.33
2048,B,07840,NJ,9033,12974,4.38
2049,B,32539,FL,9030,12642,-0.32
2050,B,64015,MO,9029,13147,3.07
2051,B,70001,LA,9026,19103,3.45
2052,B,37814,TN,9026,15287,3.12
2053,B,55987,MN,9026,15312,4.27
2054,B,27834,NC,9023,27368,2.94
2055,B,60655,IL,9023,11277,5.22
2056,B,90706,CA,9023,24499,6.52
2057,B,20852,MD,9022,23023,-3.58
2058,B,79762,TX,9020,17259,4.63
2059,B,55417,MN,9020,11556,2.94
2060,B,84414,UT,9017,10578,1.99
2061,B,19114,PA,9016,14703,3.93
2062,B,60631,IL,9012,12757,4.02
2063,B,76901,TX,9006,13783,6.39
2064,B,72956,AR,9006,14119,7.4
2065,B,13126,NY,9005,15668,-0.32
2066,B,98338,WA,9002,11336,3.8
2067,B,27217,NC,8998,16392,1.6
2068,B,27511,NC,8995,14359,0.03
2069,B,06810,CT,8994,22128,-0.66
2070,B,32779,FL,8992,11644,6.3
2071,B,15401,PA,8992,15598,5.18
2072,B,43204,OH,8991,19286,-0.26
2073,B,20016,DC,8990,15457,-2.69
2074,B,55422,MN,8989,13082,3.47
2075,B,11412,NY,8989,12821,2.71
2076,B,60467,IL,8989,10055,3.04
2077,B,07039,NJ,8988,10684,5.26
2078,B,77327,TX,8986,12967,-2.73
2079,B,30165,GA,8982,17159,0.74
2080,B,30032,GA,8981,20676,-4.16
2081,B,84045,UT,8979,11273,1.52
2082,B,53150,WI,8978,10546,6.32
2083,B,50322,IA,8976,13293,3.49
2084,B,35749,AL,8975,10364,-1.31
2085,B,75075,TX,8975,16262,0.18
2086,B,40004,KY,8974,13090,4.76
2087,B,23236,VA,8968,10839,2.89
2088,B,32327,FL,8964,11730,-4.38
2089,B,08817,NJ,8964,17260,4.53
2090,B,91343,CA,8964,18891,4.02
2091,B,55448,MN,8963,10847,3.65
2092,B,11373,NY,8962,34797,3.06
2093,B,85750,AZ,8961,13654,1.08
2094,B,22701,VA,8960,13770,5.25
2095,B,98662,WA,8959,14609,2.15
2096,B,63052,MO,8958,10823,3.72
2097,B,85718,AZ,8949,15138,1.15
2098,B,46131,IN,8946,13151,4.72
2099,B,46845,IN,8945,10709,3.78
2100,B,77355,TX,8944,11279,8.72
2101,B,11204,NY,8943,27498,7.23
2102,B,55129,MN,8940,11465,1.5
2103,B,43512,OH,8939,12665,3.72
2104,B,89139,NV,8938,15206,2.54
2105,B,53546,WI,8936,12816,8.96
2106,B,33541,FL,8935,14159,-4.22
2107,B,89509,NV,8935,18290,1.88
2108,B,28405,NC,8934,17073,6.4
2109,B,47304,IN,8933,14303,6.17
2110,B,38671,MS,8932,15565,5.21
2111,B,07748,NJ,8929,10446,6.2
2112,B,86401,AZ,8923,13662,1.99
2113,B,08205,NJ,8923,11660,11.59
2114,B,97304,OR,8922,14547,2.79
2115,B,75034,TX,8921,23836,5.58
2116,B,93292,CA,8920,15028,2.75
2117,B,68104,NE,8920,16330,1.31
2118,B,38018,TN,8919,15110,1.95
2119,B,48329,MI,8918,10249,3.29
2120,B,71291,LA,8916,15290,3.84
2121,B,55407,MN,8912,15979,3.07
2122,B,85301,AZ,8910,24019,-5.18
2123,B,97222,OR,8909,16910,0.99
2124,B,08087,NJ,8902,12982,0.57
2125,B,06811,CT,8901,12568,5.38
2126,B,22314,VA,8898,21154,0.06
2127,B,37379,TN,8897,12089,3.28
2128,B,27278,NC,8897,12328,6.43
2129,B,22602,VA,8894,11716,8.16
2130,B,28752,NC,8893,14141,0.35
2131,B,89113,NV,8891,16151,-5.71
2132,B,30248,GA,8890,11435,-3.17
2133,B,49546,MI,8887,13561,3.99
2134,B,33703,FL,8884,12331,-3.97
2135,B,39759,MS,8882,23418,7.79
2136,B,53217,WI,8882,12301,4.96
2137,B,32583,FL,8878,11169,-2.97
2138,B,32720,FL,8878,13962,-0.1
2139,B,76034,TX,8877,9600,1.85
2140,B,33134,FL,8875,18136,2.19
2141,B,46236,IN,8871,10168,2.66
2142,B,21742,MD,8870,14099,5.19
2143,B,58504,ND,8870,12479,3.14
2144,B,80132,CO,8869,10413,-0.73
2145,B,88012,NM,8868,12704,3.37
2146,B,55416,MN,8864,19197,2.68
2147,B,50701,IA,8862,14530,1.52
2148,B,61107,IL,8860,13711,9.86
2149,B,50021,IA,8856,12463,2.95
2150,B,77073,TX,8856,14989,-9.76
2151,B,53105,WI,8852,12995,8.64
